population,genotype,count
1,NY_26,3
10,NY_81,5
10,NY_82,4
11,NY_05,3
11,NY_65,2
11,NY_84,5
11,NY_85,4
11,NY_86,4
13,NY_06,2
13,NY_07,1
13,NY_87,5
13,NY_88,2
13,NY_89,2
13,NY_90,2
14,NY_10,6
14,NY_91,2
15,NY_11,2
17,NY_19,3
19,NY_23,2
2,NY_41,6
2,NY_42,2
20,NY_106,4
20,NY_30,3
20,NY_31,2
20,NY_93,1
20,NY_94,2
20,NY_95,2
20,NY_96,2
20,NY_97,4
21,NY_99,1
23,NY_100,2
23,NY_101,4
23,NY_102,1
23,NY_39,2
24,NJ_03,2
24,NY_102,1
24,NY_104,2
5,NY_48,5
5,NY_49,1
6,NY_49,1
6,NY_52,6
6,NY_53,2
7,NY_54,2
7,NY_55,4
7,NY_66,3
7,NY_67,4
7,NY_68,4
7,NY_69,2
7,NY_71,2
7,NY_72,2
7,NY_73,4
8,NY_74,6
8,NY_75,2
8,NY_76,4
9,NY_77,4
9,NY_78,3
9,NY_79,4
9,NY_80,2
Backyard,MI_23,3
Backyard,MI_24,4
Backyard,MI_26,8
Cheerybend,MI_32,6
Cheerybend,MI_33,2
Cheerybend,MI_41,4
Cheerybend,MI_60,3
Fernwood,MI_44,3
Horton,MI_50,2
LCHS,MI_25,9
LCHS,MI_27,5
LCHS,MI_55,1
Magnolia,MI_30,3
Magnolia,MI_36,5
Soupspoon,MI_28,7
Soupspoon,MI_29,6
Tamarack,MI_56,2
Tamarack,MI_57,1
Tattooshop,MI_59,2
